                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9477,                0.05556,                0.58333,                 1.3985,                      0,                      0,                      0
                      2,                 1.9477,                0.05556,                0.58333,                 1.3985,             6.7866e-06,             6.7866e-06,             6.7866e-06
                      3,                 1.9401,                0.02778,                0.61111,                 1.3984,             1.2866e-05,             1.2866e-05,             1.2866e-05
                      4,                 1.9257,                0.02778,                0.58333,                 1.3982,             1.8239e-05,             1.8239e-05,             1.8239e-05
                      5,                 1.9055,                0.05556,                0.58333,                 1.3977,             2.2905e-05,             2.2905e-05,             2.2905e-05
                      6,                 1.8804,                0.11111,                0.58333,                  1.397,             2.6864e-05,             2.6864e-05,             2.6864e-05
                      7,                 1.8513,                0.16667,                0.61111,                 1.3961,             3.0117e-05,             3.0117e-05,             3.0117e-05
                      8,                 1.8192,                0.22222,                0.66667,                 1.3949,             3.2662e-05,             3.2662e-05,             3.2662e-05
                      9,                 1.7849,                   0.25,                0.72222,                 1.3936,               3.45e-05,               3.45e-05,               3.45e-05
                     10,                 1.7493,                   0.25,                0.72222,                  1.392,             3.5632e-05,             3.5632e-05,             3.5632e-05
                     11,                 1.7133,                0.30556,                0.72222,                 1.3901,             3.6057e-05,             3.6057e-05,             3.6057e-05
                     12,                 1.6774,                0.38889,                0.80556,                 1.3882,             3.5775e-05,             3.5775e-05,             3.5775e-05
                     13,                 1.6424,                0.44444,                0.86111,                 1.3861,             3.4786e-05,             3.4786e-05,             3.4786e-05
                     14,                  1.609,                0.47222,                0.94444,                 1.3839,              3.309e-05,              3.309e-05,              3.309e-05
                     15,                 1.5776,                0.52778,                      1,                 1.3818,             3.0688e-05,             3.0688e-05,             3.0688e-05
                     16,                 1.5489,                0.55556,                      1,                 1.3797,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     17,                 1.5234,                   0.75,                      1,                 1.3777,             2.3762e-05,             2.3762e-05,             2.3762e-05
                     18,                 1.5016,                0.77778,                      1,                  1.376,             1.9239e-05,             1.9239e-05,             1.9239e-05
                     19,                 1.4841,                0.77778,                      1,                 1.3746,             1.4009e-05,             1.4009e-05,             1.4009e-05
                     20,                 1.4714,                0.83333,                      1,                 1.3736,             8.0718e-06,             8.0718e-06,             8.0718e-06
